                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.80351,                0.46414,                      1,                0.94304,                0.92007,                0.95703,                0.74868,                0.92524,                0.65446,                 1.1103,               0.000911,               0.000911,               0.000911
                     57,                0.80374,                0.45938,                0.99224,                 0.9534,                0.91272,                0.95607,                0.74898,                0.93168,                0.64258,                   1.11,              0.0008912,              0.0008912,              0.0008912
                     58,                0.81034,                0.46554,                 1.0012,                0.93827,                0.90892,                 0.9567,                0.75097,                0.92056,                0.65101,                 1.0917,              0.0008714,              0.0008714,              0.0008714
                     59,                0.79739,                0.46004,                0.98661,                0.92847,                0.91675,                0.95784,                0.74844,                0.94095,                0.62374,                 1.1057,              0.0008516,              0.0008516,              0.0008516
                     60,                0.80961,                 0.4683,                 0.9976,                0.93148,                0.91822,                0.95629,                0.74929,                0.92102,                0.59784,                 1.0965,              0.0008318,              0.0008318,              0.0008318
                     61,                0.82151,                0.47101,                 1.0068,                0.93941,                0.92213,                0.96282,                0.75247,                 0.9282,                0.58822,                 1.0976,               0.000812,               0.000812,               0.000812
                     62,                 0.7904,                0.44359,                0.99344,                0.92773,                0.93062,                0.95663,                0.75179,                0.91001,                0.64346,                 1.0988,              0.0007922,              0.0007922,              0.0007922
                     63,                0.78603,                0.44508,                0.98872,                0.94778,                0.90706,                0.95645,                0.75611,                0.92509,                0.62177,                 1.1061,              0.0007724,              0.0007724,              0.0007724
                     64,                0.79857,                0.45353,                0.99492,                0.94759,                 0.9145,                 0.9545,                0.74839,                0.92304,                0.62201,                 1.1022,              0.0007526,              0.0007526,              0.0007526
                     65,                0.78295,                0.45005,                0.98314,                0.92637,                0.93123,                0.95407,                0.74483,                0.92753,                0.62731,                 1.0979,              0.0007328,              0.0007328,              0.0007328
                     66,                0.77087,                0.43957,                0.97484,                0.95627,                 0.8829,                0.95168,                0.74823,                0.91047,                0.60936,                 1.0929,               0.000713,               0.000713,               0.000713
                     67,                0.77671,                0.43549,                 0.9824,                0.94177,                0.92379,                0.95946,                0.75239,                0.92588,                0.58416,                 1.1106,              0.0006932,              0.0006932,              0.0006932
                     68,                0.77582,                0.43828,                0.98593,                0.93771,                0.92333,                0.96172,                0.75148,                0.92739,                0.61408,                 1.1029,              0.0006734,              0.0006734,              0.0006734
                     69,                0.77671,                0.43391,                0.98001,                0.93255,                0.92515,                0.95729,                0.75054,                0.91385,                0.60062,                 1.1015,              0.0006536,              0.0006536,              0.0006536
                     70,                0.75628,                0.42794,                0.97844,                0.93672,                0.91078,                  0.949,                0.74712,                0.91815,                 0.5947,                 1.1007,              0.0006338,              0.0006338,              0.0006338
                     71,                0.76548,                0.43007,                0.97911,                0.94295,                0.91636,                0.95695,                0.74641,                0.93778,                0.58061,                 1.1227,               0.000614,               0.000614,               0.000614
                     72,                0.76871,                0.42963,                0.97876,                0.93806,                0.92751,                0.96145,                0.75595,                 0.9107,                0.59542,                 1.0912,              0.0005942,              0.0005942,              0.0005942
                     73,                0.76374,                0.42525,                0.97894,                0.94421,                0.91636,                0.96298,                0.75758,                0.91671,                 0.5626,                 1.1043,              0.0005744,              0.0005744,              0.0005744
                     74,                0.74965,                 0.4192,                0.97577,                0.95171,                 0.9159,                0.96641,                0.76498,                0.90713,                0.57018,                 1.0928,              0.0005546,              0.0005546,              0.0005546
                     75,                0.76277,                0.41815,                0.96834,                0.94285,                0.92002,                0.96548,                0.76116,                0.90815,                0.58184,                 1.1077,              0.0005348,              0.0005348,              0.0005348
                     76,                0.74567,                0.41541,                  0.968,                0.94952,                0.90905,                0.96107,                0.75596,                0.91251,                0.57806,                 1.0963,               0.000515,               0.000515,               0.000515
